img_id,final_text
1,"elegant, yet, med, very, body, clean, brightness, uniqueness, process, type, washed, local"
2,"ethiopia, balance, indigenous, heirloom, dried, bed, origin, ingle, cotter, net"
3,"kenya, bellingham, roasted"
4,ethiopia
5,"coffee, whole"
6,"project, coffee, jew, lot, colombia, producer, farm, natural, process, gesha, variety, altitude, note, tasting, race, tea, mango, rive, blossom, floral, orange, with, strawberry, acidity"
7,"variety, process, honey, bourbon, apricot, natural, red, concord, don, raised, sweet, bed, origin, single, net, whole"
8,"variety, taste, black, cherry, grape, red, balanced"
9,"roaster, coffee, date, burundi, red, honey, bourbon, process, bean, whole"
10,"even, not, coffee, roaster, washed, tanzania, molasses, plum, friar"
11,"not, even, coffee, roaster, samuel, wild"
12,"brother, coffee, honduras, cart, natural, tasting, kiwi, bread, banana"
13,"dapper, peru, butter, apple, whole, gram, comforting"
14,"temple, roaster, coffee, colombia, coop, chocolate, dark, cherry"
15,"dried, clove, grapefruit, fig"
16,"peru, process, honey, note, room, coffee, whole, net"
17,"ethiopia, district, region, varietal, process, lavender, randy, profile, hark, light, theory, california, rom"
18,"blond, thou, caturra, catuai"
19,"roaster, coffee, origin, floral, mel, note, wet"
20,"featured, artist, tattooer, bourbon, hone, lack, net, salvador"
21,"from, peru, washed, red"
22,"grape, coffee, usa, sea"
23,"coffee, colombia, san, chocolate, and, caramel, flavor"
24,"fee, san, cream, mexico"
25,"loma, salvador, arc, brown, roaster, coffee, whole"
26,"gesha, fruit, tropical"
27,"ritual, ethiopia, zone, made, san, since"
28,new
29,"from, filter, note, floral"
30,guatemala
31,"geisha, coffee, processed, natural"
32,"beaut, floral, mouth, party, coffee, geisha, hacienda, pair"
33,"one, light, honey"
34,"punch, fruit, straw"
35,"wit, ethiopia"
36,"sie, mill"
37,"note, portland"
38,"kickapoo, dari, single, net"
39,"dapper, colombia, gram"
40,"exceptional, guatemala, washed, process, whole, bean, net, weight, yor, main, suite"
41,"roast, kenya, cocoa, dark, nec, whole, net"
42,"costa, fuego, cordillera, spice, sweet, suite, main"
43,"five, coffee, colombia, forest, caturra, washed, chocolate, lemon, roasted"
44,"noble, red"
45,"hat, feb"
46,"roaster, coffee, lot, lush, dark, plum, mari, producer, roasted, variety, process"
47,"gat, mexico, net"
48,"ethiopia, region, honey, light, roast, tea, black, coconut, blueberry, peach"
49,"tristan, tattooer, net"
50,coffee
51,"coffee, lab, small, batch, hand, natural, ethiopia, elevation, sweet, tea, lychee, raspberry, cocoa, variety, modern, heirloom"
52,"district, craft, park, duluth, ethiopia, grade, processed, milk, hard, watermelon, weight, net"
53,"old, soul, roaster, baker, vista, fazenda, pecan"
54,"land, and, water, kenya, kiva, process, dried, fruit, lemon"
55,"ground, berry, not, dark, medium, light"
56,"est, corvus, roaster, vega, washed, colombian, colombia, note, varietal, tasting"
57,"lima, note, cherry, chocolate"
58,hey
59,"colon, san, honduras, chocolate, citrus, altitude, out, producer"
60,feast
61,"caturra, washed, carolina"
62,"lemon, currant, fjord"
63,"kenya, currant, factory, washed"
64,coffee
65,"peru, washed, tasting, lime, whole, cherry, bean"
66,"misty, valley, ethiopia, sweetness, acid, milk, california, roasted, net"
67,"colombia, washed, altitude, tasting, chocolate, dark, orang"
68,"premium, ethiopia, apricot, complex"
69,"coffee, natural, ethiopia"
70,"kenya, skin, crea, pie"
